"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет работу поисковой строки - ввод текста на русском","1052","Поиск товара по названию","","Tue Nov 05 13:15:37 MSK 2024","passed","Tue Nov 05 13:15:38 MSK 2024","","API - тесты","",""
"","453","Просмотр корзины","","Tue Nov 05 13:15:58 MSK 2024","passed","Tue Nov 05 13:15:58 MSK 2024","","API - тесты","",""
"Тест проверяет соответствие номера горячей линии","44381","Проверка номера горячей линии на главной странице сайта","","Tue Nov 05 13:16:39 MSK 2024","passed","Tue Nov 05 13:17:23 MSK 2024","","UI- тесты","",""
"Тест проверяет переход на страницу 'СКИДКИ И АКЦИИ'","47189","Перехода на страницу 'СКИДКИ И АКЦИИ'","","Tue Nov 05 13:20:19 MSK 2024","passed","Tue Nov 05 13:21:06 MSK 2024","","UI- тесты","",""
"Тест проверяет изменение количества товара на отрицательное значение","456","Ввод отрицательного значения количество книг(негативняй тест)","","Tue Nov 05 13:16:29 MSK 2024","passed","Tue Nov 05 13:16:29 MSK 2024","","API - тесты","",""
"Тест проверяет работу поисковой строки - ввод текста на русском","46729","Поиск книги по названию","","Tue Nov 05 13:17:33 MSK 2024","passed","Tue Nov 05 13:18:20 MSK 2024","","UI- тесты","",""
"Тест проверяет изменение количества товара","984","Изменение количества одной книги","","Tue Nov 05 13:16:08 MSK 2024","passed","Tue Nov 05 13:16:09 MSK 2024","","API - тесты","",""
"Тест проверяет соответствие цвета у кнопки 'Каталог'","45145","Проверка цвета кнопки 'Каталог'","","Tue Nov 05 13:18:29 MSK 2024","passed","Tue Nov 05 13:19:14 MSK 2024","","UI- тесты","",""
"Тест проверяет удаление товара из корзины","817","Удаление книги из корзины","","Tue Nov 05 13:16:18 MSK 2024","passed","Tue Nov 05 13:16:19 MSK 2024","","API - тесты","",""
"Тест проверяет возможность добавление товара в корзину","223","Добавление товара в корзину","","Tue Nov 05 13:15:48 MSK 2024","passed","Tue Nov 05 13:15:48 MSK 2024","","API - тесты","",""
"Тест проверяет переход на вкладку 'Личный кабинет - Вход и регистрация'","45010","Перехода на вкладку 'Личный кабинет - Вход и регистрация'","","Tue Nov 05 13:19:24 MSK 2024","passed","Tue Nov 05 13:20:09 MSK 2024","","UI- тесты","",""
